Designator,Mid X,Mid Y,Rotation,Layer
C1,15.54,-106.86,0.0,bottom
C2,26.14,-73.96,270.0,top
C3,23.34,-73.86,270.0,top
C56,45.16,-75.87,0.0,top
C57,35.55,-60.02,180.0,top
C58,36.32,-76.26,0.0,top
C59,50.34,-64.06,90.0,top
C60,23.44,-64.36,270.0,top
C61,33.32,-77.15,270.0,bottom
C62,27.34,-68.27,180.0,top
C63,27.2725,-62.08,0.0,top
C64,76.94,-86.46,180.0,top
C65,81.04,-83.16,90.0,top
C66,80.94,-89.86,270.0,top
C67,54.24,-96.36,90.0,top
C68,76.84,-96.06,0.0,top
C69,93.34,-64.0925,270.0,top
C73,57.34,-95.56,90.0,top
C74,51.8,-77.78,270.0,top
C75,67.2825,-90.06,180.0,top
D1,49.075,-32.76,0.0,top
D10,38.17,-53.93,0.0,top
D11,49.075,-39.36,0.0,top
D13,106.94,-44.56,90.0,top
D15,54.94,-55.86,0.0,top
D2,81.02,-76.36,0.0,top
D9,49.04,-82.0575,90.0,top
F1,92.34,-44.66,180.0,top
F2,80.59,-44.66,0.0,top
F3,69.54,-44.66,0.0,top
J1,100.84,-72.355,0.0,top
J10,12.74,-58.0,270.0,top
J11,12.44,-80.12,270.0,top
J13,8.54,-40.46,0.0,top
J16,29.64,-55.36,0.0,top
J17,37.24,-47.46,0.0,top
J18,40.94,-47.46,0.0,top
J3,90.22,-36.66,180.0,top
J4,47.935,-58.61,90.0,top
J5,54.52,-50.215,0.0,top
J7,30.3,-35.96,180.0,top
J9,67.82,-36.56,180.0,top
L12,35.13,-78.21,0.0,top
L13,89.24,-89.96,270.0,top
Q1,69.54,-51.26,270.0,top
Q2,90.24,-51.26,270.0,top
Q3,79.54,-51.26,270.0,top
Q4,79.78,-60.03,90.0,top
Q6,74.68,-59.96,90.0,top
Q7,84.98,-59.93,90.0,top
Q8,79.77,-65.22,180.0,top
R1,22.04,-80.06,180.0,top
R10,88.44,-66.66,270.0,bottom
R11,9.54,-106.96,0.0,bottom
R12,15.54,-109.56,180.0,bottom
R13,22.04,-87.26,180.0,top
R14,17.04,-87.56,180.0,bottom
R15,30.86,-65.1,270.0,top
R16,17.04,-82.56,180.0,bottom
R17,48.8,-77.47,270.0,top
R18,39.23,-57.58,90.0,top
R19,52.44,-42.96,180.0,bottom
R2,67.74,-66.66,180.0,bottom
R20,53.44,-34.26,90.0,bottom
R21,51.06,-53.69,270.0,top
R22,49.63,-47.11,0.0,top
R23,76.74,-93.56,180.0,top
R24,76.74,-91.26,180.0,top
R25,16.94,-77.46,180.0,bottom
R26,17.04,-72.46,180.0,bottom
R27,17.69,-55.26,180.0,bottom
R28,20.94,-73.86,90.0,top
R29,69.14,-48.96,0.0,bottom
R3,22.04,-82.46,180.0,top
R30,82.34,-52.86,90.0,bottom
R31,89.54,-109.635,180.0,top
R32,87.84,-111.46,0.0,bottom
R33,69.14,-53.76,0.0,bottom
R34,38.84,-40.16,270.0,bottom
R35,36.54,-40.16,90.0,bottom
R36,34.24,-40.26,90.0,bottom
R37,48.44,-53.66,270.0,top
R38,76.94,-88.86,180.0,top
R39,17.54,-60.46,180.0,bottom
R4,74.54,-63.66,180.0,bottom
R40,28.54,-74.06,90.0,top
R41,17.34,-65.56,180.0,bottom
R42,31.84,-40.26,270.0,bottom
R43,26.84,-40.06,90.0,bottom
R44,29.24,-40.26,270.0,bottom
R45,24.24,-39.86,90.0,bottom
R46,21.44,-39.86,270.0,bottom
R5,22.04,-84.86,180.0,top
R6,70.74,-60.26,0.0,bottom
R7,85.74,-65.26,90.0,bottom
R8,73.24,-68.36,180.0,top
R9,88.44,-61.56,90.0,bottom
SW1,11.84,-100.66,0.0,top
SW2,63.24,-112.86,0.0,top
SW3,63.24,-102.46,0.0,top
SW4,44.74,-107.86,0.0,top
SW5,26.64,-113.46,0.0,top
U2,57.54,-61.86,270.0,top
U3,40.11,-67.89,270.0,top
U4,77.54,-83.26,0.0,top
U6,57.04,-89.56,180.0,top
U7,76.565,-51.33,180.0,bottom
Y2,27.29,-65.05,0.0,top
